2654,アスモ,61億,13.63,6.08,4.12,卸売業
2656,ベクター HD,18億,,,,小売業
2659,サンエー,1631億,14.1,7.89,6.05,小売業
2664,カワチ薬品,646億,10.31,5.15,2.86,小売業
2666,オートウェーブ,18億,6.83,7.01,3.72,小売業
2667,イメージワン,22億,,,,卸売業
2668,タビオ,83億,16.23,11.55,5.91,卸売業
2669,カネ美食品,311億,15.86,6.83,5.18,小売業
2670,エービーシー・マート,7616億,18.9,11.64,10.01,小売業
2673,夢みつけ隊,10億,20.23,1.97,1.46,小売業
2674,ハードオフコーポレーション,267億,12.58,12.81,8.95,小売業
2676,高千穂交易,392億,23.52,9.07,6.78,卸売業
2678,アスクル,2040億,17.83,14.87,4.95,小売業
2681,ゲオ HD,607億,10.13,6.67,2.52,小売業
2683,魚喜,26億,48.8,6.21,2.25,小売業
2685,アダストリア,1649億,12.06,17.42,9.68,小売業
2686,ジーフット,121億,1217.36,-0.22,0.03,小売業
2687,シー・ヴイ・エス・ベイエリア,28億,2.78,29.08,9.26,小売業
2689,オルバヘルスケア HD,116億,7.54,12.88,3.39,卸売業
2692,伊藤忠食品,915億,13.05,6.32,2.37,卸売業
2693,YKT,26億,13,2.49,1.45,卸売業
2694,焼肉坂井 HD,179億,51.43,4.63,2.2,小売業
2695,くら寿司,1444億,39.63,5.94,2.42,小売業
2698,キャンドゥ,586億,1396.34,0.35,0.13,小売業
2700,木徳神糧,96億,9.16,7.21,3.11,卸売業
2702,日本マクドナルド HD,8642億,32.01,11.44,8.9,小売業
2705,大戸屋 HD,375億,28.34,38.43,14,小売業
2708,久世,75億,5.78,18.19,5.02,卸売業
2715,エレマテック,722億,11.66,8.6,4.94,卸売業
2721,ジェイ HD,10億,,,,卸売業
2722,IK HD,29億,9.1,13.96,4.99,小売業
2726,パルグループ HD,2224億,16.13,20.44,9.85,小売業
2730,エディオン,2040億,17.4,5.12,2.5,小売業
2733,あらた,1305億,11.04,9.95,3.37,卸売業
2734,サーラコーポレーション,530億,9.56,6.62,2.75,小売業
2735,ワッツ,110億,17.41,5.02,2.28,小売業
